t,Gz
0.167897918065847,0.809716599190283
4.86903962390869,1.00395722477657
7.55540631296175,1.97556493910812
10.9133646742781,3.01193693020069
15.6145063801209,3.72439617926875
19.6440564137005,3.01176726493612
22.3304231027536,1.99147214525957
24.3451981195434,1.01977307270863
26.3599731363331,0.954956591250819
31.7327065144393,0.90626918590582
37.1054398925453,0.808998784609403
41.8065815983882,0.711741434487183
49.8656816655474,0.6791961564292
69.341840161182,0.662623340393657
100.235057085292,0.694411650348169
149.932840832774,0.693445863457529
199.630624580255,0.69248007656689
250,0.691501238502053
300.369375419745,0.755299728372437
314.472800537273,0.755025653714282
319.845533915379,0.949253228126368
324.546675621222,2.00179344885435
326.561450638012,3.02199721031152
328.576225654802,3.99361797581726
331.262592343855,5.01380868610023
335.963734049698,6.01776591087679
339.993284083277,5.01363902083566
343.351242444594,3.99333084998491
348.7239758227,2.98917785759537
354.824266845758,1.99700652790328
358.710792726911,1.64080564414946
364.151928960525,1.43452206771283
371.147675546601,1.28443859961304
374.256896251524,1.22814785812205
375.811506603985,1.19063076747853
378.143422132677,1.18121373100342
380.086685073253,1.06871532841276
382.418600601945,0.993696252651396
389.414347188021,1.01230374271624
391.357610128597,0.787344701349153
393.300873069174,0.459296741103675
395.24413600975,0.984075291579444
398.742009302788,1.89306414682329
402.239882595826,2.08043056991839
403.794492948288,2.1834892777454
405.737755888864,2.24905355321742
409.235629181902,2.2208704186577
410.401586946248,1.84597896444773
412.344849886824,0.983742970014221
413.122155063055,0.890010665508171
413.899460239286,0.67444600232766
416.620028356093,0.871199250846487
418.174638708554,0.983629678571532
419.3405964729,1.03983733967121
422.449817177823,0.983546598180226
424.004427530284,0.936657787638663
426.724995647091,0.974091797890885
449.655498345895,0.973646184882973
